ASIN,title,price,rating,review_count,url,prod_type
B08GP2F1C3,"Portable Monitor, Ultra Slim Portable Monitor for Laptop HDMI USB C, InnoView 15.6” FHD 1080P HDR IPS Screen 178°Full View, for MacBook/iPhone/Android Xbox Switch PS5 Raspberry Pi",208.99,4.7,147,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_computers_sr_pg242_1?ie=UTF8&adId=A06372263PO0I93E5KILB&url=%2FPortable-Monitor-InnoView-178%25C2%25B0Full-Raspberry%2Fdp%2FB08GP2F1C3%2Fref%3Dsr_1_5814_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471739%26s%3Dpc%26sr%3D1-5814-spons%26psc%3D1&qualifier=1617471739&id=7322315779813321&widgetName=sp_btf,monitor
B08TWMK9W7,"USB C to HDMI VGA Adapter,iTSOHOO Aluminum 2 in 1 USB Type C to VGA HDMI 4K Converter Adaptor for Laptop,Monitor,Projector,HDTV, MacBook Pro,Huawei Mate 30/P30/P30 Pro and More USB C Device",14.69,Non,None,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg243_1?ie=UTF8&adId=A08241532N86LVZYSNJC0&url=%2FAdapter-iTSOHOO-Aluminum-Converter-Projector%2Fdp%2FB08TWMK9W7%2Fref%3Dsr_1_5809_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471741%26s%3Dpc%26sr%3D1-5809-spons%26psc%3D1&qualifier=1617471741&id=8554785821742511&widgetName=sp_atf_next,monitor
B088TNCM6L,"Webcam, 110 Degree Widescreen Webcam Camera with Microphone/Privacy Cover/Tripod, 1080P HD USB Web Cameras for Computers Laptop Desktop PC Monitor MAC Video Conference Recording Calling Streaming",10.99,4.0,62,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg243_1?ie=UTF8&adId=A09140821U834MUO3PNUN&url=%2FWidescreen-Microphone-Computers-Conference-Recording%2Fdp%2FB088TNCM6L%2Fref%3Dsr_1_5810_sspa%3Fdchild%3D1%26keywords%3DMonitor%26qid%3D1617471741%26s%3Dpc%26sr%3D1-5810-spons%26psc%3D1&qualifier=1617471741&id=8554785821742511&widgetName=sp_atf_next,monitor
B084G3JQRS,"Synvy Privacy Screen Protector, Compatible with Apple Pro Display XDR 32"" Display Monitor Anti Spy Film Protectors [Not Tempered Glass]",109.99,Non,None,https://www.amazon.com/Synvy-Protector-Compatible-Protectors-Tempered/dp/B084G3JQRS/ref=sr_1_5811?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5811,monitor
B07GHJ9LC5,"Wacom Cintiq Pro 24 Creative Pen and Touch Display – 4K graphic drawing monitor with 8192 pen pressure and 99% Adobe RGB (DTH2420K0), Black",None,4.6,60,https://www.amazon.com/Wacom-Cintiq-Creative-Touch-Display/dp/B07GHJ9LC5/ref=sr_1_5812?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5812,monitor
B01M3V5G7E,StarTech.com USB C to HDMI Cable - 3 ft / 1m - USB-C to HDMI 4K 30Hz - USB Type C to HDMI - Computer Monitor Cable (CDP2HDMM1MB) White,29.09,4.2,37,https://www.amazon.com/USB-HDMI-Cable-Computer-Monitor/dp/B01M3V5G7E/ref=sr_1_5813?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5813,monitor
B07MJBT948,"3.5"" TFT LCD Screen Module，480x320 TFT LCD Display Module for Arduino MEGA 2560 Board (with Touch Panel)",21.99,3.8,8,https://www.amazon.com/Screen-Module%EF%BC%8C480x320-Display-Module-Arduino/dp/B07MJBT948/ref=sr_1_5814?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5814,monitor
B083Z56XCP,StarTech.com 3.3ft (1m) USB C to DisplayPort 1.2 Cable 4K 60Hz - Bidirectional DP to USB-C or USB-C to DP Reversible Video Adapter Cable - HBR2/HDR - USB Type C/TB3 Monitor Cable (CDP2DP1MBD),None,3.3,5,https://www.amazon.com/StarTech-com-3-3ft-DisplayPort-Cable-60Hz/dp/B083Z56XCP/ref=sr_1_5815?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5815,monitor
B08GNZ38BY,GAOMON US STD Power Adapter & Power Cord for GAOMON PD2200 Drawing Pen Monitor,26.99,Non,None,https://www.amazon.com/GAOMON-Adapter-PD2200-Drawing-Monitor/dp/B08GNZ38BY/ref=sr_1_5816?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5816,monitor
B07WKVM9RF,"AZDOME USB C Docking Station for MacBook Pro/Windows,12 in 1 Hub Dual Monitor with USB 3.0,VGA, Gigabit Ethernet,4K HDMI, SD/TF Card Slot,Charging Power, Audio",109.99,3.7,17,https://www.amazon.com/AZDOME-Ethernet-Charging-AirHuawei-Chromebook/dp/B07WKVM9RF/ref=sr_1_5817?dchild=1&keywords=Monitor&qid=1617471741&s=pc&sr=1-5817,monitor
