title,url,rating,review_count,price,asin,prod_type
"Kids Headphones Boys, Wired Dinosaur Headphones w/Mic 3.5mm Jack & Adjustable Headband & Tangle-Free Cord, Over On Ear Headset for School Birthday Xmas, w/1pc Dinosaur Party Bag, Green",https://www.amazon.com/Headphones-Dinosaur-Adjustable-Headband-Tangle-Free/dp/B08P4QLWWC/ref=sr_1_42?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-42,4.4,97,19.99,B08P4QLWWC,headphones
"PeohZarr Kids Headphones with Mic, 85dB/94dB Safe Volume Limited On-Ear Headphones for Kids Girls Boys, 3.5mm Jack Stereo Foldable Wired Headphones for Cellphones/Tablet/Kindle/School/Travel",https://www.amazon.com/PeohZarr-Headphones-Limited-Foldable-Cellphones/dp/B0888FN9N3/ref=sr_1_43?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-43,4.6,1486,13.99,B0888FN9N3,headphones
"Earbuds Headphones Wired Headphones Earphones with Microphone and Volume Control, Compatible with iPhone Xs/XR/XS Max/iPhone 7/7plus 8/8plus /11/12/pro/se/remotecontrol",https://www.amazon.com/Headphones-Earphones-Microphone-Compatible-remotecontrol/dp/B08XLT92YZ/ref=sr_1_44?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-44,4.5,231,11.99,B08XLT92YZ,headphones
"Bluetooth Headphones Noise Canceling Over Ear Headphones Wireless for TV,Wired Headphones Hi-Fi Stereo Foldable Soft Memory-Protein Earmuffs,Headset Buit in Mic for Online Class/PC/Phones,Black",https://www.amazon.com/Bluetooth-Headphones-Canceling-Wireless-Memory-Protein/dp/B08RHPB5FS/ref=sr_1_45?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-45,4.7,180,36.99,B08RHPB5FS,headphones
"Wireless Earbuds, LETSCOM Bluetooth 5.0 Headphones in Ear with Charging Case, True Wireless Stereo Earbuds with Touch Control, Built in Mic, 28H Playback, Hands-Free for Work, Sports, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A05789511SQ25LO5TTJB0&url=%2FWireless-LETSCOM-Bluetooth-Headphones-Hands-Free%2Fdp%2FB08GCQJTT6%2Fref%3Dsr_1_46_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1617473781%26s%3Delectronics%26sr%3D1-46-spons%26psc%3D1%26smid%3DA2L1KZ9X44LHRJ&qualifier=1617473781&id=4923824192901200&widgetName=sp_btf,4.2,338,19.99,B08GCQJTT6,headphones
"Mpow H7 Bluetooth Headphones, Comfortable Over Ear Wireless Headphones, Hifi Stereo Headset, Wireless Wired Mode, Built-in Microphone for Kids, Adults, Cellphone, Online Class, Home Office, PC",https://www.amazon.com/Mpow-Headphones-Comfortable-Rechargeable-Microphone/dp/B07C48ZYXR/ref=sr_1_47?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-47,4.5,20779,21.99,B07C48ZYXR,headphones
"Mpow 059 Lite Bluetooth Headphones, 60 Hours Playtime Wireless Headphones Over Ear with Microphone, Bluetooth 5.0, HiFi Stereo Sound, Protein Earpads, Wired Wireless Headset for Kids, Adults, TV",https://www.amazon.com/Mpow-Bluetooth-Headphones-Over-Ear-Lightweight/dp/B082TWSSTM/ref=sr_1_48?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-48,4.5,8200,19.99,B082TWSSTM,headphones
"Sleep Headphones Bluetooth Headband,Upgrage Soft Sleeping Wireless Music Sport Headbands, Long Time Play Sleeping Headsets with Built in Speakers Perfect for Workout, Running, Yoga (Wine Red)",https://www.amazon.com/Headphones-Bluetooth-Headband-Sleeping-Headbands/dp/B08LDSZPF3/ref=sr_1_49?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-49,4.3,14403,22.88,B08LDSZPF3,headphones
"Mpow CH6 Plus Kids Bluetooth Headphones with Microphone Over Ear for Teens up to 15 Hours Playtime, Bluetooth 5.0 Wireless Headsets with HD Stereo Sound, for School, Travel, Cellphones, Tablets, PC",https://www.amazon.com/Mpow-Bluetooth-Headphones-Microphone-Cellphones/dp/B089SQHF5B/ref=sr_1_50?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-50,4.6,2042,21.99,B089SQHF5B,headphones
"Headphones with Microphone, Vogek Lightweight Foldable on Ear Headset for Kids Teens Adults, Wired Stereo Headphones with Deep Bass, Portable Design for Home Office Travel Virtual Schooling, Black",https://www.amazon.com/Headphones-Lightweight-Portable-Fold-Flat-Microphone-Black/dp/B07MCCJ6VY/ref=sr_1_51?dchild=1&keywords=Headphones&qid=1617473781&s=electronics&sr=1-51,4.5,14510,12.99,B07MCCJ6VY,headphones
